Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
10,1958,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-181-1-16-a.wav,f,16,17-181-1-16-a.wav,a hairbrush ,17,doss,ʁ,b,181,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-16-a.wav,f,16,17-187-1-16-a.wav,a hairbrush ,17,doss,ʁ,b,187,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,17-187-1-16-a,ʏ,0.627,0.718,0.091,0.657,230.76,674.46,1586.22,2043.89,0.687,228.69,676.49,1691.59,2516.17,5500 Hz,10,
12,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/5-113-2-16-a.wav,m,16,5-113-2-16-a.wav,a hairbrush ,5,doss,ʁ,b,113,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,5-113-2-16-a,ʏ,0.391,0.459,0.068,0.414,144.49,570.75,1803.58,2410.91,0.436,140.83,577.20,1701.98,2376.08,5500 Hz,10,
13,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-98-2-16-a.wav,f,16,3-98-2-16-a.wav,a hairbrush ,3,floresville,ʁ,b,98,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,3-98-2-16-a,ʏ,0.350,0.415,0.065,0.371,206.66,570.59,1638.49,2776.09,0.393,208.76,567.23,1676.20,2914.77,5500 Hz,10,"
3-98-2-16-a"
14,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-16-a.wav,f,16,51-283-3-16-a.wav,a hairbrush ,51,floresville,ʁ,b,283,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,51-283-3-16-a,ʏ,0.426,0.553,0.127,0.468,153.88,449.80,1630.14,2663.90,0.511,154.68,433.99,1627.53,2701.12,5500 Hz,10,"
51-283-3-16-a"
15,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-397-2-16-a.wav,m,16,1-397-2-16-a.wav,a hairbrush ,1,fredericksburg,ʁ,b,397,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-16-a.wav,f,16,105-404-1-16-a.wav,a hairbrush ,105,fredericksburg,ʁ,b,404,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1947,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-16-a.wav,m,16,108-406-1-16-a.wav,a hairbrush ,108,fredericksburg,ʁ,b,406,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-16-a.wav,f,16,110-407-2-16-a.wav,a hairbrush ,110,fredericksburg,ʁ,b,407,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,110-407-2-16-a,ʏ,0.487,0.641,0.154,0.538,169.05,506.51,2280.65,3032.38,0.590,168.11,611.36,1818.38,2797.05,5500 Hz,10,
19,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-16-a.wav,f,16,110-408-1-16-a.wav,a hairbrush ,110,fredericksburg,ʁ,b,408,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,110-408-1-16-a,ʏ,0.446,0.564,0.118,0.486,146.44,589.80,1915.01,2537.80,0.525,136.25,612.65,1774.78,2351.48,5500 Hz,10,
20,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-16-a.wav,f,16,111-410-1-16-a.wav,a hairbrush ,111,fredericksburg,ʁ,b,410,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-16-a.wav,m,16,17-185-1-16-a.wav,a hairbrush ,17,fredericksburg,ʁ,b,185,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,17-185-1-16-a,ʏ,0.499,0.606,0.107,0.535,152.29,630.87,1660.68,2089.15,0.570,159.78,654.65,1587.47,2162.05,5500 Hz,10,
22,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-16-a.wav,m,16,29-226-2-16-a.wav,a hairbrush ,29,fredericksburg,ʁ,b,226,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,29-226-2-16-a,ʏ,0.635,0.690,0.055,0.654,116.47,499.59,1976.05,2954.41,0.672,117.96,559.00,1980.20,2992.55,5500 Hz,10,
23,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-16-a.wav,f,16,53-398-1-16-a.wav,a hairbrush ,53,fredericksburg,ʁ,b,398,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,53-398-1-16-a,ʏ,0.816,0.816,0,0.816,84.61,483.10,2154.91,2472.89,0.816,84.61,483.10,2154.91,2472.89,5500 Hz,10,"
53-398-1-16-a"
24,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-16-a.wav,f,16,53-401-1-16-a.wav,a hairbrush ,53,fredericksburg,ʁ,b,401,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,53-401-1-16-a,ʏ,0.486,0.575,0.089,0.515,211.95,483.51,1685.70,2326.73,0.545,214.83,571.86,1735.56,2370.87,5500 Hz,10,
25,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-16-a.wav,f,16,53-402-1-16-a.wav,a hairbrush ,53,fredericksburg,ʁ,b,402,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/112-436-2-16-a.wav,m,16,112-436-2-16-a.wav,a hairbrush ,112,"giddings, tx",ʁ,b,436,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-437-2-16-a.wav,f,16,115-437-2-16-a.wav,a hairbrush ,115,"giddings, tx",ʁ,b,437,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1925,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-438-2-16-a.wav,f,16,115-438-2-16-a.wav,a hairbrush ,115,"giddings, tx",ʁ,b,438,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,115-438-2-16-a,ʏ,1.448,1.554,0.106,1.483,191.90,351.17,1550.59,1765.25,1.519,185.57,368.81,1554.05,2035.72,5500 Hz,10,"
115-438-2-16-a"
29,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/51-286-2-16-a.wav,m,16,51-286-2-16-a.wav,a hairbrush ,51,la grange,ʁ,b,286,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,51-286-2-16-a,ʏ,0.731,0.818,0.087,0.760,490.88,495.78,1525.69,2101.24,0.789,497.71,513.14,1478.45,2131.40,5500 Hz,10,
30,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/53-286-2-16-a.wav,m,16,53-286-2-16-a.wav,a hairbrush ,53,la grange,ʁ,b,286,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-125-2-16-a.wav,f,16,1-125-2-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,125,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-169-3-16-a.wav,f,16,1-169-3-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,169,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-16-a.wav,m,16,1-25-3-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,25,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,1-25-3-16-a,ʏ,0.653,0.754,0.101,0.687,113.73,530.38,1576.28,2406.56,0.721,116.17,530.69,1591.60,2257.31,5500 Hz,10,"
1-25-3-16-a"
34,1919,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-16-a.wav,f,16,1-33-2-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,33,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1940,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-16-a.wav,f,16,1-34-3-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,34,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1916,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-16-a.wav,m,16,1-58-2-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,58,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,1-58-2-16-a,ʏ,0.825,0.930,0.104,0.860,158.63,439.58,2168.73,2500.64,0.895,169.91,548.39,2024.96,2314.59,5500 Hz,10,
37,1921,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-88-2-16-a.wav,m,16,1-88-2-16-a.wav,a hairbrush ,1,new braunfels,ʁ,b,88,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-107-2-16-a.wav,f,16,10-107-2-16-a.wav,a hairbrush ,10,new braunfels,ʁ,b,107,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-110-2-16-a.wav,f,16,10-110-2-16-a.wav,a hairbrush ,10,new braunfels,ʁ,b,110,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-171-2-16-a.wav,f,16,10-171-2-16-a.wav,a hairbrush ,10,new braunfels,ʁ,b,171,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,10-171-2-16-a,ʏ,1.380,1.482,0.102,1.414,330.73,666.01,1934.74,2244.94,1.448,--undefined--,737.53,2035.95,2544.64,5500 Hz,10,
41,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/103-388-1-16-a.wav,m,16,103-388-1-16-a.wav,a hairbrush ,103,new braunfels,ʁ,b,388,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,103-388-1-16-a,ʏ,0.751,0.828,0.077,0.777,112.14,478.03,1806.15,2353.48,0.802,106.76,564.77,1828.62,2581.45,5500 Hz,10,
42,1921,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/112-415-1-16-a.wav,m,16,112-415-1-16-a.wav,a hairbrush ,112,"new braunfels, tx",ʁ,b,415,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/16-188-1-16-a.wav,m,16,16-188-1-16-a.wav,a hairbrush ,16,new braunfels,ʁ,b,188,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1938,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-16-a.wav,f,16,3-71-2-16-a.wav,a hairbrush ,3,new braunfels,ʁ,b,71,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/60-447-2-16-a.wav,m,16,60-447-2-16-a.wav,a hairbrush ,60,new braunfels,ʁ,b,447,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,60-447-2-16-a,ʏ,0.414,0.414,0,0.414,108.85,408.26,1670.60,2227.76,0.414,108.85,408.26,1670.60,2227.76,5500 Hz,10,
46,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/wall/gilbert/60-433-2-16-a.wav,f,16,60-433-2-16-a.wav,a hairbrush ,60,"wall, tx",ʁ,b,433,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
