,oTime,End,file_name,oF2,Start,oF1,Dur,gilbert_number,oF3_mean,NumberPoles,Unnamed: 0,iver_number,post_sound,transcription,speaker_number,oF1_mean,id,location,Vowel,target_form,gTime,oF2_mean,oPitch,gPitch,oF3_oF1_coords,Notes,File/Spkr,input_form,variable,MaxFormants,oF3,dob,gender,pre_sound,gF1,gF2,gF3,oF2_oF1_coords
139,"[0.48200000000000004, nan, nan, nan]","[0.57299999999999995, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-125-a.wav']","[1894.3699999999999, nan, nan, nan]","[0.436, nan, nan, nan]","[519.0, nan, nan, nan]","[0.13600000000000001, nan, nan, nan]","[1, 111, 125, 125]",2526.94,"[10.0, nan, nan, nan]","[0, 0, 0, 0]","[10, 10, 10, 10]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",139,519.0,"['10-139-2-1-a.wav', '10-139-2-111-a.wav', '10-139-2-125-a.wav', '10-139-2-125-a.wav']",bulverde,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.52700000000000002, nan, nan, nan]",1894.37,"['89.31', nan, nan, nan]","['88.44', nan, nan, nan]","(2526.9400000000001, 519.0)","[nan, nan, nan, nan]","['10-139-2-1-a', nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2526.9400000000001, nan, nan, nan]",1941,m,"['b', 'v', 'k', 'k']","[613.63999999999999, nan, nan, nan]","[1579.3399999999999, nan, nan, nan]","[2164.5500000000002, nan, nan, nan]","(1894.3699999999999, 519.0)"
141,"[nan, nan, nan]","[nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-111-a.wav']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[1, 16, 111]",,"[nan, nan, nan]","[6, 4, 5]","[1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",141,,"['1-141-2-1-a.wav', '1-141-2-16-a.wav', '1-141-2-111-a.wav']",comfort,"[nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[nan, nan, nan]",,"[nan, nan, nan]","[nan, nan, nan]","(nan, nan)","[nan, nan, nan]","[nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan]","[nan, nan, nan]",0,m,"['b', 'b', 'v']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","(nan, nan)"
142,"[nan, nan, nan]","[nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-125-a.wav']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[1, 125, 125]",,"[nan, nan, nan]","[7, 4, 4]","[1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",142,,"['1-142-2-1-a.wav', '1-142-2-125-a.wav', '1-142-2-125-a.wav']",comfort,"[nan, nan, nan]","['die haarbuerste', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan]",,"[nan, nan, nan]","[nan, nan, nan]","(nan, nan)","[nan, nan, nan]","[nan, nan, nan]","['a hairbrush ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan]","[nan, nan, nan]",0,m,"['b', 'k', 'k']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","(nan, nan)"
145,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/15-145-1-21-a.wav'],[nan],[nan],[nan],[nan],[21],,[nan],[4],[15],['\xca\x81'],['\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],145,,['15-145-1-21-a.wav'],comfort,[nan],['eine haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1927,m,['b'],[nan],[nan],[nan],"(nan, nan)"
147,"[0.17600000000000002, nan, nan, nan]","[0.22899999999999998, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-125-a.wav']","[1901.4400000000001, nan, nan, nan]","[0.14899999999999999, nan, nan, nan]","[385.85000000000002, nan, nan, nan]","[0.080000000000000002, nan, nan, nan]","[1, 111, 125, 125]",2280.65,"[10.0, nan, nan, nan]","[8, 6, 5, 5]","[10, 10, 10, 10]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",147,385.85,"['10-147-1-1-a.wav', '10-147-1-111-a.wav', '10-147-1-125-a.wav', '10-147-1-125-a.wav']",comfort,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.20300000000000001, nan, nan, nan]",1901.44,"['--undefined--', nan, nan, nan]","['--undefined--', nan, nan, nan]","(2280.6500000000001, 385.85000000000002)","[nan, nan, nan, nan]","['10-147-1-1-a', nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2280.6500000000001, nan, nan, nan]",0,m,"['b', 'v', 'k', 'k']","[445.49000000000001, nan, nan, nan]","[1723.0699999999999, nan, nan, nan]","[2259.8699999999999, nan, nan, nan]","(1901.4400000000001, 385.85000000000002)"
149,"[nan, nan, nan]","[nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-125-a.wav']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[1, 125, 125]",,"[nan, nan, nan]","[9, 6, 6]","[10, 10, 10]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",149,,"['10-149-1-1-a.wav', '10-149-1-125-a.wav', '10-149-1-125-a.wav']",comfort,"[nan, nan, nan]","['die haarbuerste', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan]",,"[nan, nan, nan]","[nan, nan, nan]","(nan, nan)","[nan, nan, nan]","[nan, nan, nan]","['a hairbrush ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan]","[nan, nan, nan]",0,m,"['b', 'k', 'k']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","(nan, nan)"
151,"[0.96400000000000008, 0.93400000000000005, nan, nan]","[1.0349999999999999, 1.0129999999999999, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-111-a.wav']","[1866.6099999999999, 1840.6500000000001, nan, nan]","[0.92900000000000005, 0.89500000000000002, nan, nan]","[583.5, 521.25, nan, nan]","[0.106, 0.11800000000000001, nan, nan]","[1, 16, 21, 111]",2626.075,"[10.0, 10.0, nan, nan]","[2, 1, 1, 2]","[9, 9, 9, 9]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",151,552.375,"['9-151-1-1-a.wav', '9-151-1-16-a.wav', '9-151-1-21-a.wav', '9-151-1-111-a.wav']",bulverde,"['\xca\x8f', '\xca\x8f', nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[1.0, 0.97299999999999998, nan, nan]",1853.63,"['90.29', '182.27', nan, nan]","['87.03', '90.77', nan, nan]","(2626.0749999999998, 552.375)","[nan, nan, nan, nan]","['9-151-1-1-a', '9-151-1-16-a', nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan]","[2563.6100000000001, 2688.54, nan, nan]",1928,f,"['b', 'b', 'b', 'v']","[616.08000000000004, 591.16999999999996, nan, nan]","[1684.74, 1816.1400000000001, nan, nan]","[2533.8800000000001, 2606.3699999999999, nan, nan]","(1853.6300000000001, 552.375)"
153,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-125-a.wav']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[1, 21, 111, 125, 125]",,"[nan, nan, nan, nan, nan]","[3, 2, 3, 1, 1]","[9, 9, 9, 9, 9]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",153,,"['9-153-1-1-a.wav', '9-153-1-21-a.wav', '9-153-1-111-a.wav', '9-153-1-125-a.wav', '9-153-1-125-a.wav']",bulverde,"[nan, nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",1922,m,"['b', 'b', 'v', 'k', 'k']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)"
155,"[nan, nan]","[nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-155-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-155-1-111-a.wav']","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[1, 111]",,"[nan, nan]","[92, 77]","[9, 9]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",155,,"['9-155-1-1-a.wav', '9-155-1-111-a.wav']",new braunfels,"[nan, nan]","['die haarbuerste', 'ein gluehwuermchen']","[nan, nan]",,"[nan, nan]","[nan, nan]","(nan, nan)","[nan, nan]","[nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f']","[nan, nan]","[nan, nan]",1940,f,"['b', 'v']","[nan, nan]","[nan, nan]","[nan, nan]","(nan, nan)"
156,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-156-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-156-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-156-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-156-1-125-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 111, 125, 125]",,"[nan, nan, nan, nan]","[93, 78, 60, 60]","[9, 9, 9, 9]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",156,,"['9-156-1-1-a.wav', '9-156-1-111-a.wav', '9-156-1-125-a.wav', '9-156-1-125-a.wav']",new braunfels,"[nan, nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1929,f,"['b', 'v', 'k', 'k']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
157,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-157-1-1-a.wav'],[nan],[nan],[nan],[nan],[1],,[nan],[94],[9],['\xca\x81'],['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],157,,['9-157-1-1-a.wav'],new braunfels,[nan],['die haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1937,m,['b'],[nan],[nan],[nan],"(nan, nan)"
158,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-158-1-1-a.wav'],[nan],[nan],[nan],[nan],[1],,[nan],[66],[1],['\xca\x81'],['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],158,,['1-158-1-1-a.wav'],new braunfels,[nan],['die haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1936,f,['b'],[nan],[nan],[nan],"(nan, nan)"
159,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/10-159-4-125-a.wav']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[1, 21, 111, 125, 125]",,"[nan, nan, nan, nan, nan]","[84, 36, 66, 52, 52]","[10, 10, 10, 10, 10]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",159,,"['10-159-4-1-a.wav', '10-159-4-21-a.wav', '10-159-4-111-a.wav', '10-159-4-125-a.wav', '10-159-4-125-a.wav']",new braunfels,"[nan, nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",1923,m,"['b', 'b', 'v', 'k', 'k']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)"
161,"[nan, nan]","[nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/san antonio/gilbert/1-161-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/san antonio/gilbert/1-161-1-21-a.wav']","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[1, 21]",,"[nan, nan]","[97, 44]","[1, 1]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99']",161,,"['1-161-1-1-a.wav', '1-161-1-21-a.wav']",san antonio,"[nan, nan]","['die haarbuerste', 'eine haarbuerste']","[nan, nan]",,"[nan, nan]","[nan, nan]","(nan, nan)","[nan, nan]","[nan, nan]","['a hairbrush ', 'a hairbrush ']","['\xca\x8f', '\xca\x8f']","[nan, nan]","[nan, nan]",1947,f,"['b', 'b']","[nan, nan]","[nan, nan]","[nan, nan]","(nan, nan)"
163,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/9-163-2-111-a.wav'],[nan],[nan],[nan],[nan],[111],,[nan],[79],[9],['\xca\x81'],['a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n'],163,,['9-163-2-111-a.wav'],new braunfels,[nan],['ein gluehwuermchen'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a lightning bug (Lampyridae) '],['\xca\x8f'],[nan],[nan],0,f,['v'],[nan],[nan],[nan],"(nan, nan)"
164,"[nan, nan, nan]","[nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-164-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-164-2-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-164-2-111-a.wav']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[1, 21, 111]",,"[nan, nan, nan]","[49, 23, 39]","[1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",164,,"['1-164-2-1-a.wav', '1-164-2-21-a.wav', '1-164-2-111-a.wav']",freyburg/black jack,"[nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[nan, nan, nan]",,"[nan, nan, nan]","[nan, nan, nan]","(nan, nan)","[nan, nan, nan]","[nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan]","[nan, nan, nan]",1947,f,"['b', 'b', 'v']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","(nan, nan)"
